"gen_spp","species_id","n_obis_rec","BO_sstmean_NA","BO2_tempmean_bdmean_NA","BO_sstmean_mean","BO2_tempmean_bdmean_mean","BO_sstmean_min","BO2_tempmean_bdmean_min","BO_sstmean_max","BO2_tempmean_bdmean_max","BO_sstmean_median","BO2_tempmean_bdmean_median","BO_sstmean_sd","BO2_tempmean_bdmean_sd","BO_sstmean_mad","BO2_tempmean_bdmean_mad","BO_sstmean_q5","BO2_tempmean_bdmean_q5","BO_sstmean_q95","BO2_tempmean_bdmean_q95"
"Bugula neritina",111158,602,68,68,18.7535243875971,17.1887194263131,-1.56400001049042,-1.74976098537445,32.1510009765625,28.3046817779541,18.6720008850098,15.7029843330383,6.55308399679362,6.67076464588756,9.88449251461029,7.72197420988083,10.3269996643066,8.54874484539033,27.2220001220703,26.6845722198486
"Crisularia turrita",834044,700,11,11,11.5993468536521,11.8671339821227,7.51599979400635,5.89970922470093,27.5319995880127,26.4372005462646,11.53600025177,11.9792356491089,1.40630851948749,1.3916479255417,0.188289985084534,0.0776141756057739,10.7309999465942,10.9829469680786,11.8940000534058,12.2713165283203
"Cadlina laevis",139134,967,39,39,11.165547407453,10.8184919109375,-0.118000000715256,-0.966576993465424,13.6190004348755,14.2186765670776,11.2845001220703,10.8178448677063,1.448971924411,1.41755516556777,1.20312930049896,1.05302922821045,9.43099975585938,9.54654150009155,12.7469997406006,12.326892375946
"Carcinus maenas",107381,111718,16348,16348,10.7450860991373,10.8254243304448,3.5,0.915096998214722,28.6690006256104,23.9090347290039,10.4989995956421,10.7764463424683,1.18973451157866,1.0659677330566,0.876216011810303,0.187778146934509,9.0620002746582,9.79159355163574,12.3889999389648,12.2425956726074
"Ceramium virgatum",178915,18677,603,603,10.3245310967008,10.0668324760543,5.02199983596802,2.14709901809692,29.7320003509521,28.1382331848145,10.0769996643066,9.88908386230469,1.22419180206794,1.19342135214368,0.053373973274231,0.25221743888855,9.16100025177002,8.65929698944092,12.539999961853,12.3270225524902
"Chondrus crispus",145625,21095,2099,2099,10.9265463885871,10.7950065277531,4.64200019836426,1.7635270357132,28.8939990997314,28.6168746948242,10.4390001296997,10.4060945510864,1.62478621657405,1.56252803098579,1.14901443443298,0.993012670326233,7.73699998855591,8.11964797973633,13.2110004425049,13.0968418121338
"Ciona intestinalis",103732,7960,928,928,10.7889814852685,10.5400593201285,-1.31099998950958,-1.19230997562408,28.318000793457,27.0030918121338,10.2829999923706,10.3212947845459,2.32917601889549,1.80870753709561,1.22462791671753,0.93214352016449,7.69000005722046,7.65154829025269,15.5930004119873,12.9061193466187
"Codium fragile",145086,1571,109,109,11.9353002611492,11.7593256076123,5.11999988555908,1.1044100522995,27.7520008087158,25.0197925567627,10.8379998207092,10.9603471755981,3.75032633076019,3.78404674144468,2.71908856401443,2.60641983776093,6.94899988174438,6.55687618255615,19.0029502868652,19.0943977355957
"Colpomenia peregrina",145856,1496,48,48,13.0361994860581,12.8666242750886,4.83500003814697,0.927426993846893,26.9559993743896,24.8260135650635,12.7080001831055,12.4065446853638,2.34379854993583,2.43876092099756,1.95258406991959,2.01502054767609,10.0120000839233,9.93518829345703,17.2759990692139,18.2080783843994
"Corallina officinalis",145108,23253,753,753,11.0296044344584,10.8070673152341,4.43499994277954,0.153923004865646,28.9419994354248,27.851095199585,10.1129999160767,10.0592021942139,2.09598391999937,2.05134933577343,0.424023973274231,0.46292720746994,9.63099956512451,9.26583385467529,14.2112996578216,13.7498788833618
"Corambe obscura",139407,94,7,7,15.3375402428638,15.6879435572131,10.7600002288818,10.1276082992554,26.4810009002686,26.6749420166016,13.1490001678467,13.9437170028687,4.74138714799426,4.31225994695887,1.18015031261444,1.9723725528717,11.3983002662659,11.0967570304871,24.7589000701904,24.0753465652466
"Crepidula fornicata",138963,13143,1038,1038,12.6155912862933,12.5296618213244,6.16499996185303,3.69944405555725,28.2940006256104,27.1464557647705,12.4280004501343,12.181079864502,2.72020143501265,2.59082766495349,0.428470743942261,0.410246760749817,10.6859998703003,10.6087665557861,13.8780002593994,14.6301519393921
"Crepidula plana",160230,1801,54,54,15.8191802939757,15.5696605738054,7.73299980163574,6.57934713363647,30.9559993743896,27.9435558319092,11.7110004425049,11.9986162185669,6.46813868530401,6.02527798604848,1.4232960565567,1.53933768310547,10.3269996643066,9.24431800842285,26.1074998855591,25.8242351531982
"Crossaster papposus",124154,16628,940,952,9.31718536196958,8.47139233909557,-1.34800004959106,-1.57402396202087,17.9020004272461,14.4623775482178,10.3219995498657,9.98400020599365,2.99642614217548,3.50488045737537,1.33137586326599,1.33489581098557,0.781000018119812,0.826611250638962,11.9790000915527,11.6358327865601
"Cucumaria frondosa",124612,3185,8,9,7.8582209615325,5.75444641167424,-0.65499997138977,-1.39933705329895,26.5370006561279,25.8465328216553,7.96400022506714,5.10314178466797,2.1898995435625,3.03549860465952,1.73019322156906,3.35889597222805,4.66200017929077,1.97889995574951,11.2200002670288,10.8405447006226
"Catriona gymnota",141611,183,12,12,11.4361811799613,11.0619476357399,8.03400039672852,6.57934713363647,12.9820003509521,13.0609655380249,11.8549995422363,11.0900650024414,0.884418741574265,0.783750808449034,0.538183675575256,0.491418352890015,9.41700029373169,9.94830131530762,12.3775000572205,12.3576955795288
"Cyclopterus lumpus",127214,22964,97,97,7.76477327547247,6.03671988163889,-0.416999995708466,-1.03204500675201,25.4419994354248,24.2448234558105,7.48799991607666,6.21271896362305,2.66278221143336,3.46969981543787,3.32102366065979,4.56484974975586,2.92499995231628,0.542134881019592,11.8879995346069,11.7625179290771
