"gen_spp","species_id","n_obis_rec","BO_sstmean_NA","BO21_tempmax_bdmean_NA","BO21_tempmax_ss_NA","BO21_tempmean_bdmean_NA","BO21_tempmean_bdmin_NA","BO21_tempmax_bdmin_NA","BO21_templtmax_bdmin_NA","BO_sstmean_mean","BO21_tempmax_bdmean_mean","BO21_tempmax_ss_mean","BO21_tempmean_bdmean_mean","BO21_tempmean_bdmin_mean","BO21_tempmax_bdmin_mean","BO21_templtmax_bdmin_mean","BO_sstmean_min","BO21_tempmax_bdmean_min","BO21_tempmax_ss_min","BO21_tempmean_bdmean_min","BO21_tempmean_bdmin_min","BO21_tempmax_bdmin_min","BO21_templtmax_bdmin_min","BO_sstmean_max","BO21_tempmax_bdmean_max","BO21_tempmax_ss_max","BO21_tempmean_bdmean_max","BO21_tempmean_bdmin_max","BO21_tempmax_bdmin_max","BO21_templtmax_bdmin_max","BO_sstmean_median","BO21_tempmax_bdmean_median","BO21_tempmax_ss_median","BO21_tempmean_bdmean_median","BO21_tempmean_bdmin_median","BO21_tempmax_bdmin_median","BO21_templtmax_bdmin_median","BO_sstmean_sd","BO21_tempmax_bdmean_sd","BO21_tempmax_ss_sd","BO21_tempmean_bdmean_sd","BO21_tempmean_bdmin_sd","BO21_tempmax_bdmin_sd","BO21_templtmax_bdmin_sd","BO_sstmean_mad","BO21_tempmax_bdmean_mad","BO21_tempmax_ss_mad","BO21_tempmean_bdmean_mad","BO21_tempmean_bdmin_mad","BO21_tempmax_bdmin_mad","BO21_templtmax_bdmin_mad","BO_sstmean_q5","BO21_tempmax_bdmean_q5","BO21_tempmax_ss_q5","BO21_tempmean_bdmean_q5","BO21_tempmean_bdmin_q5","BO21_tempmax_bdmin_q5","BO21_templtmax_bdmin_q5","BO_sstmean_q95","BO21_tempmax_bdmean_q95","BO21_tempmax_ss_q95","BO21_tempmean_bdmean_q95","BO21_tempmean_bdmin_q95","BO21_tempmax_bdmin_q95","BO21_templtmax_bdmin_q95","scientificName","hasSebensData"
"Leucosolenia botryoides",132216,1224,126,126,126,126,126,126,126,10.7058906880884,15.3702774317104,15.5825107345164,10.5894089663615,10.9562735913664,16.2027177834554,15.1191003478941,7.50400018692017,2.11402797698975,13.029673576355,2.1012818813324,2.21763801574707,2.24192595481873,2.22405099868774,21.8209991455078,28.9430484771729,28.9399929046631,22.8877716064453,23.1842136383057,29.218578338623,28.2859172821045,10.6180000305176,14.9429993629456,15.4399938583374,10.4910926818848,10.6775007247925,15.9685497283936,15.0603127479553,1.30811280138235,1.92983796247637,1.92013532831685,1.24034840206309,1.22824553926097,1.79791981315064,1.7292494719963,1.16309988098145,1.32614224748611,2.07246589651108,0.888036362457275,1.01109526176453,1.59602446517944,1.55530576086044,8.50800037384033,12.1962765693665,13.2189958095551,8.51074919700623,9.59875640869141,14.4861669540405,12.9034910202026,12.4692998409271,18.2834894180298,19.506477355957,12.3520574569702,12.813793182373,19.6713886260986,17.9014930725098,"Leucosolenia botryoides",FALSE
"Metridium senile",100982,11320,1132,1132,1132,1132,1132,1132,1132,11.1222977897304,15.5490860830017,16.2832973685787,10.719769083942,11.1622592912988,16.5707832891399,15.5129679026478,1.12800002098083,-0.819666981697083,6.71999406814575,-0.847196996212006,-0.847196996212006,-0.819666981697083,-0.839890003204346,29.1800003051758,30.9613056182861,31.3255500793457,28.9050731658936,28.9050731658936,30.9613056182861,30.0130996704102,11.0500001907349,15.1465034484863,16.0655956268311,10.7707014083862,10.9603471755981,16.1319179534912,15.282769203186,1.81260077916078,2.61795874992727,2.30959747435563,1.78140929267423,1.70514726721083,2.26847741808045,2.17681840949793,1.36102712802887,1.94207512779236,2.31113588447571,1.17558760070801,1.22365302057266,1.98612997055054,1.99998777637482,9.07999992370605,11.85426902771,13.5231685638428,8.9016923904419,9.71790313720703,14.3566312789917,12.9120435714722,12.951000213623,19.6452026367188,19.6801191329956,12.5733766555786,12.9603881835938,20.2531585693359,18.521297454834,"Metridium senile",FALSE
"Modiolus modiolus",140467,9053,733,733,733,733,733,733,733,10.4814801640164,15.7768079768436,16.3431372357103,10.258840019623,10.5543264597619,16.5032281761559,15.3440731779887,0.50900000333786,1.79657697677612,9.54266929626465,-0.137530997395515,0.454236000776291,1.88943195343018,1.85351395606995,28.746000289917,31.0671310424805,31.2405948638916,28.2033061981201,28.2104072570801,31.0339279174805,30.4555149078369,10.3544998168945,15.0491018295288,15.4024753570557,10.3212947845459,10.6287393569946,15.4055490493774,14.6141510009766,2.03441700665073,3.24882693077906,2.97872042678561,2.08586634735325,2.02235236182313,3.03459352198183,2.88010611862233,1.3306335565567,1.84798457107544,2.50411088533401,0.808531779098511,0.873070045280457,1.28728143081665,2.05817967367172,7.99599981307983,10.9476022720337,13.2096423149109,7.1190447807312,7.8672324180603,12.6817781448364,11.6540422439575,12.3526002407074,21.2422760009764,22.3256168365479,12.2176581859589,12.3622398376465,22.2686500549316,20.8160533905029,"Modiolus modiolus",FALSE
"Molgula citrina",103775,377,20,20,20,20,20,20,20,9.60319892698977,12.7540951912143,16.5517758418198,8.44503460294392,8.64998220061722,13.7639150467573,12.8050437609689,-0.65499997138977,-0.915023028850555,-0.604658007621765,-0.921032011508942,-0.926741003990173,-0.902131021022797,-0.919804990291595,25.6219997406006,30.2415561676025,30.8221302032471,25.0520668029785,25.0303268432617,30.3348388671875,29.2993698120117,10.085000038147,13.3704881668091,15.9199934005737,8.05816173553467,8.20783710479736,15.0065937042236,14.1019620895386,2.18900258452646,4.80407454256069,2.53983482464484,2.62512253372144,2.69134656328062,5.29468018394337,4.83865593778324,0.529288720321655,6.47232348747253,2.11919799213409,2.8549264500618,1.78241626596451,8.10500235099792,7.25987414417267,5.29400014877319,5.85280084609985,14.026961517334,4.02691349983215,2.95223903656006,5.49231481552124,4.5204381942749,12.3520002365112,20.6861324310303,20.1591472625732,11.4881109237671,12.0506134033203,20.7174968719482,19.245361328125,"Molgula citrina",FALSE
"Molgula manhattensis",103788,3026,264,264,264,264,264,264,264,12.5370727464136,18.6798316182044,19.0329171787734,12.2703597300904,12.4625378039589,19.0554159306081,17.9303581032263,4.72300004959106,1.17718398571014,12.7865915298462,1.17009603977203,1.17466497421265,1.18331503868103,1.17819797992706,28.7350006103516,31.1996898651123,30.9199924468994,27.5800647735596,27.610279083252,31.1309757232666,30.2595806121826,11.9095001220703,17.6567058563232,17.8018207550049,11.6358327865601,12.0442352294922,18.1726684570312,17.0489807128906,2.57809060116426,4.32069874655345,3.87979533071404,2.68296090329952,2.63467369774745,4.08788198892765,3.98220326541548,1.15123852672577,3.3165033662796,2.18811657485962,1.28943765506744,0.94250400094986,3.25656315994263,2.52610649356842,9.85400009155273,14.2813768386841,15.0863370895386,9.9497193813324,10.1498126029968,14.8871868133545,13.9736423492432,16.4260005950928,27.8184394836426,28.0418695449829,16.6800079345703,16.7070293426514,27.8161697387695,26.6584053039551,"Molgula manhattensis",FALSE
"Mytilus edulis",140480,129989,8429,8429,8429,8429,8429,8429,8429,9.98406440262645,17.6656961795593,18.4050849152934,9.44063955599246,10.0132987026739,19.3868333512391,17.513427943032,-1.19700002670288,-0.915023028850555,-0.604658007621765,-1.20244705677032,-1.20244705677032,-0.902131021022797,-0.919804990291595,29.117000579834,31.3118190765381,31.359992980957,28.8414440155029,28.8682327270508,31.3118190765381,30.5129642486572,9.86400032043457,18.7951240539551,18.8574752807617,9.8754711151123,9.9666543006897,20.3899536132812,18.0945835113525,1.68727338362888,3.25539150511239,1.74215246979724,2.2139904114406,1.7226104217263,2.25656672132498,1.93579202558792,1.7027653421402,2.69782253723145,0.938569775390625,2.15828291473389,1.71741706266403,0.75890892906189,0.866349695205688,7.96199989318848,11.8767523765564,14.3473224639893,5.94073915481567,7.38765907287598,14.9483375549316,13.9921426773071,12.5329999923706,20.8240299224854,20.109992980957,12.3520574569702,12.4700880050659,20.9270725250244,19.0267615318298,"Mytilus edulis",FALSE
"Myxicola infundibulum",130932,2885,207,207,207,207,207,207,207,11.9042105463162,16.4212964865545,17.2490600784649,11.6902343996587,12.0597426920484,17.3027193133202,16.2758377720897,0.105999998748302,0.406078994274139,5.81087779998779,-0.26850301027298,-0.266678988933563,0.920773029327393,0.362632006406784,22.4360008239746,28.3585472106934,29.474292755127,19.8850002288818,22.7987003326416,30.1913776397705,29.5871028900146,11.9680004119873,16.6107501983643,17.2400970458984,11.9149150848389,12.2965483665466,17.4703998565674,16.5296840667725,2.01104842674977,2.99584964342756,2.9594033513575,2.17197050816935,2.08346394456519,2.91061135013141,2.7618287647811,1.32173789434433,2.1846241985321,1.3553050037384,1.43965649642944,0.952415562915802,1.0292556186676,0.955750287437439,8.96399974822998,12.4637265205383,13.764376449585,9.21958923339844,9.76585483551025,14.4236068725586,13.1122070789337,15.9117502689362,21.9651098251343,25.2333414077759,15.5949712753296,15.6393928527832,23.5269088745117,22.1842403411865,"Myxicola infundibulum",FALSE
"Spirorbis spirorbis",334842,2845,337,337,337,337,337,337,337,10.9412303955622,16.9950764515813,17.0812632564152,10.9613438079897,11.2293949504123,17.5782495700001,16.4006549270818,-0.368999987840652,0.0523409992456436,3.23609399795532,-1.33906304836273,-1.21357095241547,0.927999019622803,-0.0346739999949932,29.3999996185303,29.8910942077637,30.8376731872559,28.382287979126,28.8774223327637,30.8454113006592,30.2367324829102,10.8030004501343,16.7810039520264,17.5599937438965,10.6737670898438,10.8264932632446,18.0842590332031,16.958532333374,2.52669362953229,2.8086672358255,2.92746106302738,2.42877136645422,2.38775277751154,2.79083677911216,2.62882372280614,1.6041735789299,2.87736390752792,3.60004332046509,1.29801872062683,1.19834531049728,3.41842278442383,2.72131619110107,7.72700023651123,13.8051168441772,13.7504358291626,7.84076976776123,8.11964797973633,14.5668878078461,13.3747899532318,12.878999710083,20.9966583251953,20.3881565093994,12.9099426269531,12.938943862915,20.9058609008789,19.0548583030701,"Spirorbis (Spirorbis) spirorbis",FALSE
"Styela clava",103929,3708,408,408,408,408,408,408,408,12.9477617914026,18.6439123279037,19.2077155197028,12.5979388013572,12.8646209813248,19.0693545353413,17.9697915638577,5.11100006103516,0.936272025108337,9.33526802062988,0.418610006570816,1.21523404121399,1.22487199306488,1.21960699558258,29.0179996490479,30.1663246154785,29.9631195068359,28.8049468994141,28.8049468994141,30.1663246154785,29.7305297851562,12.5150003433228,18.1501922607422,18.3638343811035,12.3670339584351,12.6101560592651,18.3745670318604,17.4013023376465,2.35607959479068,3.21405664915609,2.88677174800993,2.23907178590243,2.15863862418115,3.0525966816314,2.95059582992738,0.856202009010315,2.18421981811523,1.78237031364441,0.44594817867279,0.486294315719604,1.56330217151642,1.34183885307312,10.1920003890991,15.0807523727417,16.5800704956055,10.3572597503662,10.6625647068024,15.5158090591431,14.573281288147,17.9029998779297,26.3408718109131,26.1519985198975,18.1078681945801,18.1078681945801,26.3408718109131,25.2364349365234,"Styela clava",FALSE
"Sycon ciliatum",132251,8082,772,772,772,772,772,772,772,11.5707854844599,15.8688875909706,16.3665925783596,11.1812898981134,11.6181532404448,16.7679478585149,15.7899154336443,-0.676999986171722,2.11402797698975,2.0833899974823,-0.0370020009577274,0.0282450001686811,1.89816200733185,1.26029300689697,29.3999996185303,29.8910942077637,30.8376731872559,28.382287979126,28.8774223327637,30.8454113006592,30.2367324829102,11.6525001525879,15.6790285110474,16.3545150756836,11.0772333145142,11.6389169692993,16.8189105987549,15.9394998550415,1.1490378905702,1.91710583649429,1.97872739250655,1.1381638954363,1.1721262656589,1.75965422002402,1.65033058567821,1.20683659229279,1.75328744373322,1.87724135284424,0.997042335319519,1.25791577739716,1.94588987731934,1.56709712619781,9.91489992141724,12.994176864624,13.8699932098389,9.70545673370361,10.0251121520996,14.531102180481,13.2565050125122,12.9219999313354,18.5571784973145,18.5699939727783,12.623047208786,12.9910087585449,18.9285011291504,17.7614974975586,"Sycon ciliatum",FALSE
